,job title,company,region,skills required,is remote?,is fresher?
250,Data scientist,Google,Bengaluru,,No,NA
251,Data scientist,Accenture,Pune,Python,No,No
252,Data scientist,Butterfly consulting and training,Chennai,,No,NA
253,Data scientist,Tuebora,Remote,,Yes,Yes
254,Data scientist,Dolby,Bengaluru,,No,NA
255,Data scientist,Vira Technocrats,Jaipur,Stat,No,No
256,Data scientist,Smartificia Technologies Pvt Ltd,Remote in Coimbatore,,Yes,NA
257,Data scientist,Publicis Sapient,Gurgaon,,No,NA
258,Data scientist,KPMG,Gurgaon,,No,No
259,Data scientist,Flipkart,Bengaluru,,No,NA
260,Data scientist,Capgemini,Chennai,,No,NA
261,Data scientist,FelixHealthcare.AI,Kondapur,,No,No
262,Data scientist,Intolap,Kolkata,Python,No,NA
263,Data scientist,Merkle,Pune,,No,NA
264,Data scientist,Microsoft,Bengaluru,,No,NA
265,Data scientist,Goldman Sachs,Hyderabad,,No,NA
266,Data scientist,Zeta Global,Bengaluru,,No,No
267,Data scientist,vDoIT Technologies,Gurgaon,,No,NA
268,Data scientist,DEWII,Gurgaon,"Machine Learning, Deep Learning, Big Data",No,NA
269,Data scientist,PubNub,Bengaluru,,No,NA
270,Data scientist,Moody's,Bengaluru,,No,NA
271,Data scientist,GroIntern,Remote,Python,Yes,No
272,Data scientist,Foraysoft,Gurgaon,,No,No
273,Data scientist,GVM,Kolkata,Machine Learning,No,Yes
274,Data scientist,L.E.K. Consulting,Mumbai,,No,No
275,Data scientist,PwC,Bengaluru,Machine Learning,No,No
276,Data scientist,Career Soft Solutions,Chennai,Python,No,No
277,Data scientist,Techolution,Remote,Deep Learning,Yes,No
278,Data scientist,AceNgage Infoservices,Bengaluru,Data Mining,No,NA
279,Data scientist,Navitas Life Sciences,Chennai,,No,NA
280,Data scientist,BigShyft,Bengaluru,Data Structure,No,NA
281,Data scientist,Virtusa,Hybrid remote in Chennai,,Yes,No
282,Data scientist,Maruti Suzuki India Ltd,Gurgaon,,No,No
283,Data scientist,ThinkLabs,Hyderabad,,No,NA
