,job title,company,region,skills required,is remote?,is fresher?
268,Data analyst,Risk Management Solutions (RMS),Noida,,No,NA
269,Data analyst,Moody's,Bengaluru,,No,NA
270,Data analyst,Deloitte,Hyderabad," Sql , Etl",No,No
271,Data analyst,iResearch Services,Hybrid remote in Pune,Excel,Yes,NA
272,Data analyst,Airbus,Bengaluru,,No,Yes
273,Data analyst,twid,Bengaluru,,No,No
274,Data analyst,Assetmonk,India,,No,NA
275,Data analyst,Goldman Sachs,Bengaluru,,No,NA
276,Data analyst,Cisco Systems,Bengaluru,,No,No
277,Data analyst,The Modern Dimension,Bengaluru,,No,No
278,Data analyst,Clarity Bio Systems,Powai,"Python, Machine Learning,  R , Stat",No,NA
279,Data analyst,Cognext,Mumbai,Etl,No,NA
280,Data analyst,Accenture,India,,No,NA
281,Data analyst,Tata 1mg,Gurgaon,,No,NA
282,Data analyst,BNP Paribas,Mumbai,,No,NA
283,Data analyst,DAMS Pvt. Ltd. (eMedicoz),Noida,,No,No
284,Data analyst,Arsh Biotech,India,,No,Yes
285,Data analyst,RealPage India,Hyderabad,,No,NA
286,Data analyst,JPMorgan Chase & Co,Bengaluru,,No,NA
287,Data analyst,REXMAN,Remote,,Yes,NA
288,Data analyst,VB School,Chennai,"Python,  Sql , Database",No,NA
289,Data analyst,Mercedes-Benz Research and Development India...,Bengaluru,,No,Yes
290,Data analyst,Gnani Innovations,Bengaluru,,No,No
291,Data analyst,"CloudPlinth, Inc.",Warangal,Data Mining,No,No
292,Data analyst,altbalaji,Mumbai," Sql ,  R , Tableau",No,No
293,Data analyst,Fluid.Live Solutions Pvt Ltd,Remote in Pune,,Yes,NA
294,Data analyst,Phenom People,Hyderabad,Stat,No,Yes
295,Data analyst,BT Group,Bengaluru,,No,NA
296,Data analyst,FabHotels,Gurgaon,"Python, Excel",No,No
297,Data analyst,Deutsche Bank,Bengaluru,,No,Yes
298,Data analyst,Siemens,Bengaluru,,No,NA
299,Data analyst,JPMorgan Chase & Co,Bengaluru,Machine Learning,No,NA
300,Data analyst,GXO Logistics,Mumbai,,No,Yes
301,Data analyst,BT,Bengaluru,,No,No
302,Data analyst,EY,Gurgaon,Data Structure,No,NA
303,Data analyst,Supply Wisdom,Remote,,Yes,NA
304,Data analyst,Cargill,Gurgaon,,No,No
305,Data analyst,Aptus Data LAbs,Bengaluru,,No,NA
306,Data analyst,XenonStack,Mohali,"Data Visualization, Database",No,NA
307,Data analyst,IBM,Pune,,No,NA
308,Data analyst,SS Supply Chain Solutions,Bengaluru,,No,NA
309,Data analyst,Food Memories,Delhi,Database,No,NA
310,Data analyst,V-Align Technologies,Bengaluru,Stat,No,No
311,Data analyst,SAP,Bengaluru,,No,Yes
312,Data analyst,Oracle,Noida,Cloud,No,NA
313,Data analyst,Magic Infomedia,Delhi,,No,NA
314,Data analyst,IBM,Bengaluru,,No,Yes
315,Data analyst,Cashfree Payments,Bengaluru,,No,No
316,Data analyst,Accenture,Mumbai,Cloud,No,NA
317,Data analyst,Risk Management Solutions,Noida,,No,NA
318,Data analyst,Wells Fargo,Hyderabad,,No,NA
319,Data analyst,SSquad Global,Bengaluru,,No,NA
320,Data analyst,HoonarTek,Mumbai,,No,No
321,Data analyst,7N,Remote,Database,Yes,NA
322,Data analyst,99Plus IT Solutions,Vadodara,Stat,No,Yes
323,Data analyst,Certara,Secunderabad,Database,No,NA
324,Data analyst,BridgeLoyalty,Mumbai,,No,NA
325,Data analyst,4CRisk.ai Software,Bengaluru,,No,No
326,Data analyst,Skyworks,Bengaluru,,No,Yes
327,Data analyst,SH Square Consultants,Bengaluru,"Etl, Excel",No,No
328,Data analyst,AMBC,Hyderabad,,No,NA
329,Data analyst,Bristol Myers Squibb,Hyderabad,,No,NA
330,Data analyst,L.E.K. Consulting,Mumbai,,No,NA
331,Data analyst,Skyislimit Technologies,Ernakulam,Python,No,NA
332,Data analyst,Recruitment Smart,Hybrid remote in Ahmedabad,,Yes,NA
333,Data analyst,Royal Global University,Guwahati,,No,NA
334,Data analyst,JPMorgan Chase & Co,Mumbai,,No,NA
335,Data analyst,Copperpod Digital,India,Dashboard,No,NA
336,Data analyst,Risk Management Solutions (RMS),Noida,,No,NA
337,Data analyst,Trane Technologies,Bengaluru,,No,NA
